frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,1,-1,False,False,True,2.2303922176361084,True,[],,67.61972100852273,37.10654386301754,-1.0,0.3228402997955411,0.3166680065697243,28.9,3.38402997955411,11.709446296034985,1.663082356525703
frame_1,0,255,1,-1,False,False,True,2.3278307914733887,True,[],,66.0806591959541,37.13377922439132,-1.0,0.3081185473726127,0.3281387834553226,28.9,1.9118547372612704,6.615414315782943,1.6592645689899228
frame_2,0,255,1,-1,False,False,True,2.5155158042907715,True,[],,50.10982572078896,25.106295267507637,-1.0,0.2497013687475223,0.2283235112172837,28.9,3.9298631252477625,13.598142301895372,1.693085316461117
frame_3,0,255,1,-1,False,False,True,3.0118296146392822,True,[],,58.24724564121211,14.057907904877869,-1.0,0.3006132760072204,0.2823316116235118,28.9,1.1613276007220452,4.018434604574551,1.678158090029444
frame_4,0,255,1,-1,False,False,True,3.396303415298462,True,[],,44.69638749250472,13.541004346504655,-1.0,0.2575523885525206,0.2443692705943172,28.9,3.144761144747937,10.881526452415008,1.710066239709978
frame_5,0,255,1,-1,False,False,True,3.553056478500366,True,[],,48.71779026739992,10.647178014879891,-1.0,0.2810245453651439,0.3133533373922853,28.9,0.7975454634856105,2.7596728840332543,1.6977329299713662
frame_6,0,255,1,-1,False,False,True,3.7180585861206055,True,[],,42.99536744395122,9.777326035612395,-1.0,0.2727198100223866,0.2942353463651299,28.9,1.6280189977613324,5.633283729277967,1.70852346309352
frame_7,0,255,1,-1,False,False,True,3.7500159740448,True,[],,45.48376710755855,12.212057906334808,-1.0,0.2733853507877768,0.2682322854818298,28.9,1.5614649212223164,5.402992806997635,1.7070580822121448
frame_8,0,255,1,-1,False,False,True,3.735552310943604,True,[],,48.44468770311374,5.144808303546627,-1.0,0.3057483237029332,0.3323251216970859,28.9,1.6748323702933277,5.795267717277951,1.7180025881043883
frame_9,0,255,1,-1,False,False,True,3.956571578979492,True,[],,51.6432305318787,5.537660781167728,-1.0,0.307764003327314,0.3519707263623959,28.9,1.876400332731404,6.492734715333577,1.721248606064249
frame_10,0,255,1,-1,False,False,True,3.856815814971924,True,[],,-1.0,-1.0,-1.0,-1.0,0.7606179929668234,28.9,,,1.7113287520265863
frame_11,0,255,1,-1,False,False,True,3.878837108612061,True,[],,35.30112267635388,2.4822047343015563,-1.0,0.2771988523837089,0.303689692800326,28.9,1.180114761629103,4.083442081761602,1.732783483522248
frame_12,0,255,1,-1,False,False,True,4.105036735534668,True,[],,42.15521714959132,3.1252630763413536,-1.0,0.2862947526376714,0.2867770693221541,28.9,0.2705247362328578,0.9360717516707884,1.7293881471541253
frame_13,0,255,1,-1,False,False,True,4.173451900482178,True,[],,51.63964861739443,2.578434458972361,-1.0,0.3060728005744406,0.3621403412086953,28.9,1.707280057444066,5.907543451363551,1.728719403483591
frame_14,0,255,1,-1,False,False,True,4.333986282348633,True,[],,40.19402467580423,2.3181403437884622,-1.0,0.2975773470805511,0.2883678955383542,28.9,0.857734708055119,2.967940166280689,1.7309731209449473
frame_15,0,255,1,-1,False,False,True,4.1612749099731445,True,[],,32.36970488723069,1.427791164362593,-1.0,0.2739547625144056,0.2911137913169767,28.9,1.5045237485594387,5.205964527887332,1.7449586136265145
frame_16,0,255,1,-1,False,False,True,4.292352199554443,True,[],,39.16635113090786,0.7884446963604479,-1.0,0.3024522640807623,0.2918869576879945,28.9,1.3452264080762333,4.6547626577032295,1.742685271994167
frame_17,0,255,1,-1,False,False,True,4.330653667449951,True,[],,27.633008045650698,2.4349794533578906,-1.0,0.277651385230058,0.2872265536781871,28.9,1.1348614769941978,3.926856321779231,1.748159169971225
frame_18,0,255,1,-1,False,False,True,4.469102382659912,True,[],,23.80644581316924,3.5821010077568185,-1.0,0.277347347441674,0.2892101517021933,28.9,1.1652652558325982,4.032059708763316,1.749257100174766
frame_19,0,255,1,-1,False,False,True,4.552231311798096,True,[],,17.782491472572815,2.946904164682272,-1.0,0.270871381111772,0.2846429531569644,28.9,1.812861888822792,6.272878508037342,1.7529815227486367
frame_20,0,255,1,-1,False,False,True,4.505703926086426,True,[],,19.936963074816514,4.052718017649233,-1.0,0.2816988673606179,0.2804723178395128,28.9,0.7301132639382091,2.526343473834633,1.755153659718416
frame_21,0,255,1,-1,False,False,True,4.521271705627441,True,[],,20.620377205081592,3.761515142549817,-1.0,0.2825201446025038,0.2818556109752243,28.9,0.6479855397496126,2.242164497403504,1.7587159664714016
frame_22,0,255,1,-1,False,False,True,4.484044551849365,True,[],,19.519219951793477,5.13348675663431,-1.0,0.2829865181610033,0.2851622596857186,28.9,0.6013481838996693,2.080789563666676,1.7578471108047065
frame_23,0,255,1,-1,False,False,True,4.263191223144531,True,[],,16.109283030463253,5.62585947899089,-1.0,0.2802242189461501,0.2832589991862412,28.9,0.8775781053849852,3.0366024407784957,1.7584943323636535
frame_24,0,255,1,-1,False,False,True,3.9539506435394287,True,[],,18.854376730631856,5.1178954909972045,-1.0,0.2839990783575986,0.2889281358211081,28.9,0.5000921642401346,1.7304227136336836,1.761940148877789
frame_25,0,255,2,-1,False,True,True,3.925530195236206,True,[1],,14.793302427263836,3.5782660075156185,-1.0,0.2361388379163282,0.2381902761807156,28.9,5.286116208367172,18.29105954452309,1.7755187198231828
frame_25,0,127,1,-1,False,True,True,3.8246779441833496,True,[2],,17.86535689839478,4.705255340972925,-1.0,0.2750690352395402,0.2821085741554759,28.9,1.393096476045974,4.820403031300949,1.7692621659919925
frame_26,0,255,1,-1,False,False,True,3.728383779525757,True,[],,17.24194656597659,6.973459076161525,-1.0,0.2764711277095886,0.2744758634135584,28.9,1.252887229041133,4.335249927477969,1.7659235909615651
frame_27,0,255,1,-1,False,False,True,3.669116735458374,True,[],,13.176868039504086,5.525075097076715,-1.0,0.2712274343337825,0.2634130175935015,28.9,1.7772565666217488,6.149676701113318,1.774177963927954
frame_28,0,255,1,-1,False,False,True,3.633973836898804,True,[],,6.656683714586195,3.401504056152834,-1.0,0.2499950719407989,0.2424097244628253,28.9,3.900492805920108,13.496514899377535,1.779683687099039
