track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt,rel_error_perc
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_1,59.0,31.208944196183165,29.1,2.108944196183163,3.402429981598001,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,7.247230914718774
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_18,31.0,28.42558038018634,29.1,0.674419619813662,-7.6089006962648895,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,2.317593195235952
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_4,14.0,36.84435789251525,32.3,4.544357892515251,3.9077540982529024,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,no_mark,14.069219481471364
Dataset_2_2025_08_21_10-07-59_0-r50-end_12,42.0,31.582838874502446,32.3,0.717161125497551,1.5888043387400252,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.2203130820357617
Dataset_2_2025_08_21_10-07-59_0-r50-end_16,17.0,28.7663860649508,29.1,0.33361393504920045,7.39266969984661,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,1.1464396393443315
Dataset_2_2025_08_21_10-07-59_0-r50-end_21,34.0,31.81256658295698,32.3,0.4874334170430181,9.116598282868557,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.509081786510892
Dataset_2_2025_08_21_10-07-59_0-r50-end_24,25.0,28.572602704613782,29.1,0.5273972953862192,10.492138841807526,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,1.812361839815186
Dataset_2_2025_08_21_10-07-59_0-r50-end_27,13.0,33.23579167548511,32.3,0.9357916754851132,2.3224327363254136,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.897187849799112
Dataset_2_2025_08_21_10-07-59_0-r50-end_28,7.0,26.54176458775652,29.1,2.55823541224348,0.5543056991434427,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,8.791186983654569
Dataset_2_2025_08_21_10-07-59_0-r50-end_6,24.0,27.702858273772186,29.1,1.3971417262278152,-0.17736402026702058,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,4.801174316934072
Dataset_2_2025_08_21_10-07-59_0-r50-end_9,21.0,31.856797566063467,32.3,0.4432024339365306,-7.936477929675523,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.3721437583174323
Dataset_2_2025_08_21_10-09-31_0-r0-344_10,18.0,33.0057383498252,32.3,0.7057383498252037,19.095453513461816,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,no_mark,2.184948451471219
Dataset_2_2025_08_21_10-09-31_0-r0-344_16,8.0,28.879592677840236,29.1,0.22040732215976533,12.142729019252913,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.7574134782122519
Dataset_2_2025_08_21_10-09-31_0-r0-344_4,13.0,29.377890695335,29.1,0.27789069533499955,12.442957649985516,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.9549508430755999
Dataset_2_2025_08_21_10-09-31_0-r0-344_9,41.0,28.817452103913414,29.1,0.28254789608658726,6.1219150654063474,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.9709549693697157
Dataset_2_2025_08_21_10-09-31_0-r398-end_1,19.0,28.69689439821966,29.1,0.40310560178034294,14.839042829563015,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,1.3852426178018655
Dataset_2_2025_08_21_10-09-31_0-r398-end_13,12.0,28.902629120895412,29.1,0.1973708791045894,19.082739322134575,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,0.6782504436583827
Dataset_2_2025_08_21_10-09-31_0-r398-end_14,27.0,29.567902675792944,29.1,0.4679026757929421,-14.212843375660631,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,1.607912975233478
Dataset_2_2025_08_21_10-09-31_0-r398-end_4,12.0,31.598936038416596,32.3,0.7010639615834009,8.838147298380479,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,no_mark,2.1704766612489195
Dataset_2_2025_08_21_10-09-31_0-r398-end_5,18.0,31.51171989382378,32.3,0.7882801061762166,-1.5979277202289732,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,no_mark,2.4404956847560886
Dataset_2_2025_08_21_10-09-31_0-r398-end_7,18.0,30.541577243585984,29.1,1.4415772435859822,-0.9361360642141103,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,4.9538736892989075
Dataset_2_2025_08_21_10-09-31_0-r398-end_9,66.0,33.40852460225835,32.3,1.1085246022583561,11.740340665030336,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,no_mark,3.431964712874168
Dataset_2_2025_08_21_10-11-02_0-r0-244_3,48.0,28.262112663070866,29.1,0.8378873369291355,16.03126712903735,Dataset_2,multiple_fish,2025_08_21,10-11-02_0-r0-244,red,2.8793379275915307
Dataset_2_2025_08_21_10-11-02_0-r0-244_7,32.0,31.171107261121513,32.3,1.1288927388784842,8.152120926428637,Dataset_2,multiple_fish,2025_08_21,10-11-02_0-r0-244,no_mark,3.4950239593761125
Dataset_2_2025_08_21_10-11-02_0-r295-end_2,67.0,29.989196137730023,32.3,2.3108038622699745,-1.798988822809001,Dataset_2,multiple_fish,2025_08_21,10-11-02_0-r295-end,no_mark,7.154191524055649
Dataset_2_2025_08_21_10-11-02_0-r295-end_4,9.0,29.04855419185089,29.1,0.05144580814911137,-19.616979526848432,Dataset_2,multiple_fish,2025_08_21,10-11-02_0-r295-end,red,0.17678971872546861
Dataset_2_2025_08_21_10-12-34_0-r215-end_1,25.0,32.790530375725645,29.1,3.6905303757256434,-16.50941623961712,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,red,12.682234968129357
Dataset_2_2025_08_21_10-12-34_0-r215-end_12,10.0,27.73801869582589,29.1,1.3619813041741118,-21.875434535895433,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,red,4.680348124309662
Dataset_2_2025_08_21_10-12-34_0-r215-end_15,18.0,32.07710808832339,32.3,0.22289191167660505,-16.137688899674888,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,no_mark,0.6900678380080653
Dataset_2_2025_08_21_10-12-34_0-r215-end_2,19.0,29.88125141812122,29.1,0.7812514181212187,13.210976114694038,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,red,2.684712777048861
Dataset_2_2025_08_21_10-12-34_0-r215-end_4,14.0,31.1985317251731,32.3,1.101468274826896,-7.910826051297262,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,no_mark,3.410118497916087
Dataset_2_2025_08_21_10-12-34_0-r215-end_6,9.0,28.35658530631014,29.1,0.7434146936898607,-9.326724094286114,Dataset_2,multiple_fish,2025_08_21,10-12-34_0-r215-end,red,2.5546896690373218
Dataset_2_2025_08_21_10-14-05_0-r0-528_1,13.0,27.49362799260059,29.1,1.6063720073994112,7.60236689065411,Dataset_2,multiple_fish,2025_08_21,10-14-05_0-r0-528,red,5.520178719585606
Dataset_2_2025_08_21_10-14-05_0-r0-528_10,10.0,27.510712916727257,29.1,1.589287083272744,9.222276025415866,Dataset_2,multiple_fish,2025_08_21,10-14-05_0-r0-528,red,5.461467640112522
Dataset_2_2025_08_21_10-14-05_0-r0-528_13,18.0,32.46535642365443,32.3,0.16535642365442982,16.21817708436439,Dataset_2,multiple_fish,2025_08_21,10-14-05_0-r0-528,no_mark,0.5119393921189778
Dataset_2_2025_08_21_10-14-05_0-r0-528_17,8.0,29.55325056616115,32.3,2.746749433838847,8.724289548987395,Dataset_2,multiple_fish,2025_08_21,10-14-05_0-r0-528,no_mark,8.503868216219342
Dataset_2_2025_08_21_10-14-05_0-r0-528_6,34.0,28.664377124148206,29.1,0.43562287585179504,-9.126678668241079,Dataset_2,multiple_fish,2025_08_21,10-14-05_0-r0-528,red,1.4969858276693986
Dataset_2_2025_08_21_10-15-37_0-r496-end_5,20.0,28.406704950415545,29.1,0.6932950495844565,-1.2262416988293106,Dataset_2,multiple_fish,2025_08_21,10-15-37_0-r496-end,red,2.382457215066861
Dataset_2_2025_08_21_10-15-37_0-r496-end_6,21.0,31.75493650132776,32.3,0.5450634986722385,-17.317692108011958,Dataset_2,multiple_fish,2025_08_21,10-15-37_0-r496-end,no_mark,1.6875030918645155
Dataset_2_2025_08_21_10-18-24_0_compressed-r47-end_1,21.0,27.799246011807853,29.1,1.3007539881921488,7.360009586195012,Dataset_2,multiple_fish,2025_08_21,10-18-24_0_compressed-r47-end,red,4.469944976605323
Dataset_2_2025_08_21_10-18-24_0_compressed-r47-end_10,11.0,27.72785726332467,29.1,1.3721427366753325,12.526112237542412,Dataset_2,multiple_fish,2025_08_21,10-18-24_0_compressed-r47-end,red,4.715267136341349
Dataset_2_2025_08_21_10-18-24_0_compressed-r47-end_5,8.0,31.28589498087717,32.3,1.0141050191228267,10.901574587798333,Dataset_2,multiple_fish,2025_08_21,10-18-24_0_compressed-r47-end,no_mark,3.1396440220520954
Dataset_2_2025_08_21_10-19-44_0_compressed-r383-534_1,47.0,32.03146031269907,32.3,0.2685396873009296,0.8472867231030292,Dataset_2,multiple_fish,2025_08_21,10-19-44_0_compressed-r383-534,no_mark,0.8313922207459121
Dataset_2_2025_08_21_10-19-44_0_compressed-r383-534_2,16.0,27.71931629095008,29.1,1.3806837090499222,5.168586778979142,Dataset_2,multiple_fish,2025_08_21,10-19-44_0_compressed-r383-534,red,4.744617556872584
Dataset_2_2025_08_21_10-19-44_0_compressed-r588-end_1,39.0,29.851667566124878,29.1,0.7516675661248762,12.424598300543295,Dataset_2,multiple_fish,2025_08_21,10-19-44_0_compressed-r588-end,red,2.5830500554119453
Dataset_2_2025_08_21_10-19-44_0_compressed-r588-end_2,40.0,31.861349657849214,32.3,0.43865034215078325,-10.678155110317284,Dataset_2,multiple_fish,2025_08_21,10-19-44_0_compressed-r588-end,no_mark,1.3580505948940658
Dataset_2_2025_08_21_10-20-29_1_compressed-r0-78_1,10.0,29.3758112962727,29.1,0.27581129627269974,3.966123068683025,Dataset_2,multiple_fish,2025_08_21,10-20-29_1_compressed-r0-78,red,0.9478051418305832
Dataset_2_2025_08_21_10-22-00_1_compressed_1,6.0,22.05261452986434,29.1,7.047385470135662,-7.03479676274537,Dataset_2,multiple_fish,2025_08_21,10-22-00_1_compressed,red,24.217819485002273
Dataset_2_2025_08_21_10-22-00_1_compressed_2,58.0,32.053749096153744,32.3,0.2462509038462528,11.566431185608835,Dataset_2,multiple_fish,2025_08_21,10-22-00_1_compressed,no_mark,0.762386699214405
Dataset_2_2025_08_21_10-37-15_1-r_1,40.0,32.15197127829359,32.3,0.14802872170641024,16.709857619678747,Dataset_2,multiple_fish,2025_08_21,10-37-15_1-r,no_mark,0.4582932560569977
Dataset_2_2025_08_21_10-37-15_1-r_2,27.0,29.16346142817792,29.1,0.06346142817792,7.376928226756037,Dataset_2,multiple_fish,2025_08_21,10-37-15_1-r,red,0.2180805092024742
